Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav
	2187,000000	28,267556	-0,262782	-0,111184		27,506012	4,408377	24,535415	-3,731408	49,543751	26,393805	53,326252	6,406423	-0,114734
	2188,000000	28,473688	-0,285411	-0,115828		27,533747	4,410958	24,519719	-3,764279	49,536837	26,363384	53,305835	6,401298	-0,117907
	2189,000000	28,040477	-0,267743	-0,095480		27,543978	4,428915	24,533663	-3,793765	49,519961	26,393328	53,263433	6,408132	-0,114734
	2190,000000	28,317282	-0,259671	-0,094880		27,562848	4,450466	24,536730	-3,812223	49,532561	26,370741	53,252849	6,399589	-0,114734
	2191,000000	28,331493	-0,270912	-0,090503		27,571257	4,466709	24,533179	-3,806818	49,540598	26,346400	53,220365	6,403006	-0,115792
	2192,000000	28,217849	-0,267317	-0,102085		27,582704	4,489003	24,545025	-3,817693	49,526087	26,333014	53,158598	6,403006	-0,116850
	2193,000000	28,274658	-0,279551	-0,079589		27,606426	4,518051	24,521804	-3,837305	49,519340	26,337877	53,136327	6,401298	-0,114734
	2194,000000	28,402571	-0,272993	-0,109716		27,626277	4,538439	24,540787	-3,852763	49,492336	26,316372	53,098687	6,404715	-0,114734
	2195,000000	28,523493	-0,278726	-0,117881		27,621079	4,529911	24,520829	-3,842972	49,501477	26,328385	53,088101	6,403006	-0,114734
	2196,000000	28,317282	-0,274648	-0,111569		27,642186	4,565862	24,524111	-3,873449	49,501192	26,327254	53,042296	6,399589	-0,113677
	2197,000000	28,374135	-0,272541	-0,114120		27,663569	4,569753	24,521588	-3,878058	49,486685	26,315345	53,015854	6,403006	-0,112619
	2198,000000	28,402571	-0,280408	-0,132173		27,670282	4,598472	24,527951	-3,904459	49,506005	26,307953	52,988067	6,406423	-0,114734
	2199,000000	28,210750	-0,273854	-0,102497		27,680472	4,645134	24,530796	-3,881781	49,504463	26,289019	52,943208	6,403006	-0,113677
	2200,000000	28,438124	-0,266954	-0,090021		27,690654	4,644390	24,525705	-3,888418	49,496881	26,319385	52,905533	6,404715	-0,114734
	2201,000000	28,267556	-0,273287	-0,107554		27,691857	4,664241	24,519538	-3,912202	49,485082	26,316818	52,871654	6,404715	-0,111561
	2202,000000	28,224949	-0,286856	-0,109768		27,691203	4,680817	24,531971	-3,910822	49,480975	26,324781	52,840878	6,406423	-0,113677
	2203,000000	28,040477	-0,279267	-0,108675		27,730539	4,687284	24,509109	-3,922699	49,473826	26,312759	52,818287	6,406423	-0,111561
	2204,000000	28,303073	-0,287234	-0,090022		27,726918	4,714040	24,532576	-3,929063	49,470841	26,324408	52,771289	6,404715	-0,115792
	2205,000000	28,303073	-0,285821	-0,117868		27,741871	4,742346	24,508307	-3,950186	49,472782	26,331693	52,745614	6,403006	-0,113677
	2206,000000	28,530610	-0,284701	-0,103870		27,745145	4,751662	24,521175	-3,946083	49,485541	26,325435	52,713164	6,408132	-0,111561
	2207,000000	28,324387	-0,288911	-0,113051		27,752496	4,747356	24,537210	-3,959929	49,495492	26,316865	52,669795	6,408132	-0,111561
