Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
	6408,000000	25,252646	22,782233	13,651235		22,681726	19,419294	23,136124	19,926074	23,059255	23,388310	23,129018	5,270262	1,630390	-2,922519	2,630390	396,888626	1,728765	1,000000	26,456821	6,261720	414,819032	1,728765	-1,000000	22,976354	6,261720	231,669676	1,110351	0,000000	-2,922519	2,630390	231,669676	1,117359	0,177210
	6409,000000	25,231763	22,781641	13,679211		22,684887	19,415859	23,137051	19,956889	23,076730	23,385809	23,118472	5,275388	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,456821	6,261720	414,819032	1,728765	-1,000000	22,976354	6,261720	231,669676	1,110351	0,000000	-2,922519	2,630390	231,669676	1,117359	0,177210
	6410,000000	25,287457	22,784313	13,674452		22,705281	19,413343	23,138512	19,937653	23,053706	23,397261	23,137107	5,265137	1,629332	-2,900870	2,632505	396,901396	1,728753	1,000000	26,443068	6,260011	414,809443	1,728753	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,900870	2,632505	231,656885	1,117300	0,177017
	6411,000000	25,517378	22,777097	13,648955		22,689558	19,427671	23,139840	19,938105	23,064979	23,397374	23,125011	5,271971	1,631447	-2,900870	2,632505	396,901396	1,728753	1,000000	26,443068	6,260011	414,809443	1,728753	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,900870	2,632505	231,656885	1,117300	0,177017
	6412,000000	25,196964	22,780444	13,663798		22,688984	19,405709	23,139272	19,953887	23,055810	23,385358	23,130047	5,271971	1,629332	-2,922519	2,630390	396,888626	1,728765	1,000000	26,436990	6,258303	414,807565	1,728765	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,922519	2,630390	231,644092	1,117264	0,177083
	6413,000000	25,231763	22,783256	13,675215		22,683191	19,412965	23,147131	19,926490	23,071611	23,393148	23,137553	5,273679	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,436990	6,258303	414,807565	1,728765	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,922519	2,630390	231,644092	1,117264	0,177083
	6414,000000	25,377996	22,797424	13,668141		22,672265	19,426975	23,132816	19,942995	23,070630	23,391894	23,131619	5,270262	1,632505	-2,922519	2,630390	396,888626	1,728765	1,000000	26,436990	6,258303	414,807565	1,728765	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,922519	2,630390	231,644092	1,117264	0,177083
	6415,000000	25,377996	22,814669	13,652528		22,679237	19,406750	23,126309	19,955291	23,074008	23,388429	23,125003	5,270262	1,629332	-2,933348	2,629332	396,882238	1,728772	1,000000	26,458741	6,261720	414,820962	1,728772	-1,000000	22,976354	6,261720	231,669676	1,110351	0,000000	-2,933348	2,629332	231,669676	1,117364	0,177275
	6416,000000	25,419799	22,789080	13,666017		22,681733	19,414167	23,139806	19,922847	23,055645	23,389344	23,133607	5,273679	1,629332	-2,933348	2,629332	396,882238	1,728772	1,000000	26,458741	6,261720	414,820962	1,728772	-1,000000	22,976354	6,261720	231,669676	1,110351	0,000000	-2,933348	2,629332	231,669676	1,117364	0,177275
	6417,000000	25,377996	22,796853	13,664457		22,675325	19,416603	23,153303	19,930100	23,059935	23,393408	23,137809	5,268554	1,632505	-2,911693	2,631447	396,895012	1,728759	1,000000	26,464813	6,263428	414,822834	1,728759	-1,000000	22,985377	6,263428	231,682465	1,110394	0,000000	-2,911693	2,631447	231,682465	1,117400	0,177209
